"VerseID","BookName","BookNumber",Chapter,Verse,Text
1,創世記,1,1,1,"起初，上帝創造天地。"
2,創世記,1,1,2,地是空虛混沌，淵面黑暗；上帝的靈運行在水面上。
3,創世記,1,1,3,上帝說：「要有光」，就有了光。
4,創世記,1,1,4,上帝看光是好的，上帝就把光從暗分開了。
5,創世記,1,1,5,上帝稱光為「晝」，稱暗為「夜」。有晚上，有早晨，這是第一天。
6,創世記,1,1,6,上帝說：「諸水之間要有穹蒼，將諸水從眾水分開。」
7,創世記,1,1,7,上帝就造出穹蒼，將穹蒼以下的水從穹蒼以上的水分開了。事就這樣成了。
8,創世記,1,1,8,上帝稱穹蒼為「天」。有晚上，有早晨，是第二天。
9,創世記,1,1,9,上帝說：「天下的水要聚在一處，使旱地露出來。」事就這樣成了。
10,創世記,1,1,10,上帝稱旱地為「地」，稱水的聚處為「海」。上帝看著是好的。
11,創世記,1,1,11,上帝說：「地要長出青草和結種子的菜蔬，並結果子的樹木，各從其類，果子都包著核。」事就這樣成了。
12,創世記,1,1,12,於是地長出了青草和結種子的菜蔬，各從其類；並結果子的樹木，各從其類；果子都包著核。上帝看著是好的。
13,創世記,1,1,13,有晚上，有早晨，是第三天。
14,創世記,1,1,14,上帝說：「天上穹蒼中要有光體，可以將晝從夜分別，作記號，定節令、日子、年歲，
15,創世記,1,1,15,並要發光在天上穹蒼中，普照在地上。」事就這樣成了。
16,創世記,1,1,16,於是上帝造了兩個大光，大的管晝，小的管夜，又造眾星，
17,創世記,1,1,17,上帝就把這些光擺列在天上穹蒼中，普照在地上，
18,創世記,1,1,18,管理晝夜，將明從暗分別；上帝看著是好的。
19,創世記,1,1,19,有晚上，有早晨，是第四天。
20,創世記,1,1,20,上帝說：「水要多多滋生有生命、會動的造物，又要有雀鳥，好飛在地面以上，穹蒼之中。」
21,創世記,1,1,21,上帝就創造出大鯨和水中所滋生各樣有生命的造物，各從其類；又創造出各樣飛鳥，各從其類。上帝看著是好的。
22,創世記,1,1,22,上帝就賜福給這一切，說：「滋生繁多，充滿海中的水；雀鳥也要多生在地上。」
23,創世記,1,1,23,有晚上，有早晨，是第五天。
24,創世記,1,1,24,上帝說：「地要生出活的造物來，各從其類；牲畜、昆蟲、野獸，各從其類。」事就這樣成了。
25,創世記,1,1,25,於是上帝造出野獸，各從其類；牲畜，各從其類；地上一切昆蟲，各從其類。上帝看著是好的。
26,創世記,1,1,26,上帝說：「我們要照著我們的形像、按著我們的樣式造人，使他們管理海裏的魚、空中的鳥、地上的牲畜，和全地，並地上所爬的一切昆蟲。」
27,創世記,1,1,27,上帝就照著自己的形像創造人，乃是照著上帝的形像創造男女。
28,創世記,1,1,28,上帝就賜福給他們，上帝又對他們說：「要生養眾多，遍滿地面，治理這地，也要管理海裏的魚、空中的鳥，和地上各樣行動的活物。」
29,創世記,1,1,29,上帝說：「看哪，我將遍地上一切結種子的菜蔬和一切樹上所結有核的果子全賜給你們作食物。
30,創世記,1,1,30,至於地上的走獸和空中的飛鳥，並各樣爬在地上有生命的物，我將青草賜給牠們作食物。」事就這樣成了。
31,創世記,1,1,31,上帝看著一切所造的都見甚好。有晚上，有早晨，是第六天。
32,創世記,1,2,1,就這樣，諸天與大地，並其中的萬物都造齊了。
33,創世記,1,2,2,到第七天，上帝造物的工已經完畢，就在第七天歇了他一切的工，安息了。
34,創世記,1,2,3,上帝賜福給第七天，定為聖日；因為在這日，上帝歇了他一切創造的工，就安息了。
35,創世記,1,2,4,創造諸天與大地的世代，在耶和華上帝造諸天與大地的日子，乃是這樣，
36,創世記,1,2,5,野地還沒有草木，田間的菜蔬還沒有長起來；因為耶和華上帝還沒有降雨在地上，也沒有人耕地，
37,創世記,1,2,6,但有霧氣從地上騰，滋潤遍地。
38,創世記,1,2,7,耶和華上帝用地上的塵土造人，將生氣吹在他鼻孔裏，他就成了有魂的活人，名叫亞當。
39,創世記,1,2,8,耶和華上帝在東方的伊甸立了一個園子，把所造的人安置在那裏。
40,創世記,1,2,9,耶和華上帝使各樣的樹從地裏長出來，可以悅人的眼目，其上的果子好作食物。園子當中又有生命樹和分別善惡的樹。
41,創世記,1,2,10,有河從伊甸流出來，滋潤那園子，從那裏分為四道：
